"method","station","date","time","batch.date","species","fork.length","total.length","standard.length","weight","mark.type","life.stage","mort","release.id","count","calendar.year","water.year"
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",86,94,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",92,100,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-04-29,08:15:00,2006-04-29,"Chinook salmon",NA,NA,NA,NA,"CWT","n/p","No","CDFG-2006",85,2006,2006
"RSTR","ST040X",2006-04-29,19:45:00,2006-04-30,"Chinook salmon",NA,NA,NA,NA,"CWT","n/p","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-04-30,08:15:00,2006-04-30,"Chinook salmon",73,79,NA,NA,"CWT","3","No","CDFG-2006",2,2006,2006
"RSTR","ST040X",2006-04-30,08:15:00,2006-04-30,"Chinook salmon",78,85,NA,NA,"CWT","3","No","CDFG-2006",2,2006,2006
"RSTR","ST040X",2006-04-30,08:15:00,2006-04-30,"Chinook salmon",67,74,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-04-30,08:15:00,2006-04-30,"Chinook salmon",70,76,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-04-30,08:15:00,2006-04-30,"Chinook salmon",70,77,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-04-30,08:15:00,2006-04-30,"Chinook salmon",75,81,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-04-30,08:15:00,2006-04-30,"Chinook salmon",81,88,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-04-30,08:15:00,2006-04-30,"Chinook salmon",82,89,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-04-30,08:15:00,2006-04-30,"Chinook salmon",83,90,NA,NA,"CWT","3","No","CDFG-2006",1,2006,2006
"RSTR","ST040X",2006-04-30,08:15:00,2006-04-30,"Chinook salmon",83,90,NA,NA,"CWT","5","No","CDFG-2006",1,2006,2006
